Country,Year,population
Paraguay,1810,143e3
Peru,1810,1315575
Philippines,1810,1894389
Pitcairn,1810,NA
Poland,1810,9960687
Portugal,1810,3163489
Puerto Rico,1810,198271
Qatar,1810,14092
Reunion,1810,92744
Romania,1810,5915097
Russia,1810,31088398
Rwanda,1810,928368
St. Barthélemy,1810,NA
St. Helena,1810,1997
St. Kitts and Nevis,1810,17202
St. Lucia,1810,24e3
St. Martin,1810,NA
St. Vincent and the Grenadines,1810,25781
St.-Pierre-et-Miquelon,1810,1782
Samoa,1810,47220
San Marino,1810,5492
Sao Tome and Principe,1810,22731
Saudi Arabia,1810,2091e3
Senegal,1810,1009886
Serbia,1810,2147197
Serbia and Montenegro,1810,NA
Serbia excluding Kosovo,1810,NA
Seychelles,1810,12522
Sierra Leone,1810,794264
Singapore,1810,3e4
Slovak Republic,1810,2140651
Slovenia,1810,469664
Solomon Islands,1810,56998
Somalia,1810,995738
Somaliland,1810,NA
South Africa,1810,1494779
South Ossetia,1810,NA
Spain,1810,11873298
Sri Lanka,1810,1213e3
Sudan,1810,4047408
Suriname,1810,80721
Svalbard,1810,NA
Swaziland,1810,86e3
Sweden,1810,2428185
Switzerland,1810,1904962
Syria,1810,1337e3
Taiwan,1810,NA
Tajikistan,1810,466629
Tanzania,1810,3019768
Thailand,1810,4665e3
Timor-Leste,1810,137262
Togo,1810,445985
Tokelau,1810,1007
Tonga,1810,18621
Transnistria,1810,NA
Trinidad and Tobago,1810,6e4
Tunisia,1810,868499
Turkey,1810,9923007
Turkmenistan,1810,367215
Turks and Caicos Islands,1810,3296
Tuvalu,1810,2499
Uganda,1810,2101397
Ukraine,1810,11215490
United Arab Emirates,1810,40153
United Kingdom,1810,14106058
United States,1810,8294928
Uruguay,1810,55e3
USSR,1810,NA
Uzbekistan,1810,1919159
Wallis et Futuna,1810,3721
Vanuatu,1810,27791
Venezuela,1810,718e3
West Bank and Gaza,1810,165944
West Germany,1810,NA
Western Sahara,1810,2788
Vietnam,1810,6551e3
Virgin Islands (U.S.),1810,4e4
North Yemen (former),1810,NA
South Yemen (former),1810,NA
Yemen,1810,2593e3
Yugoslavia,1810,NA
Zambia,1810,747e3
Zimbabwe,1810,1085814
Åland,1810,NA
South Sudan,1810,1041076
Curaçao,1810,NA
Sint Maarten (Dutch part),1810,NA
St. Martin (French part),1810,NA
Antarctica,1810,NA
Bouvet Island,1810,NA
British Indian Ocean Territory,1810,NA
Clipperton,1810,NA
French Southern and Antarctic Lands,1810,NA
Gaza Strip,1810,NA
Heard and McDonald Islands,1810,NA
Northern Marianas,1810,NA
South Georgia and the South Sandwich Islands,1810,NA
US Minor Outlying Islands,1810,NA
Virgin Islands,1810,NA
West Bank,1810,NA
Abkhazia,1820,NA
Afghanistan,1820,3323519
Akrotiri and Dhekelia,1820,NA
Albania,1820,438671
Algeria,1820,2713079
American Samoa,1820,8142
Andorra,1820,2700
Angola,1820,1597530
Anguilla,1820,2064
Antigua and Barbuda,1820,37e3
Argentina,1820,570719
Armenia,1820,423527
Aruba,1820,19555
Australia,1820,334002
Austria,1820,3391206
Azerbaijan,1820,901772
Bahamas,1820,27404
Bahrain,1820,64474
Bangladesh,1820,20122865
Barbados,1820,85456
Belarus,1820,2413420
Belgium,1820,3475782
Belize,1820,25556
Benin,1820,653348
Bermuda,1820,9808
Bhutan,1820,91144
Bolivia,1820,1121924
Bosnia and Herzegovina,1820,871970
Botswana,1820,121e3
Brazil,1820,4582325
British Virgin Islands,1820,6700
Brunei,1820,2251
Bulgaria,1820,2186672
Burkina Faso,1820,1697947
Burundi,1820,917804
Cambodia,1820,2102468
Cameroon,1820,1874663
Canada,1820,879432
Cape Verde,1820,57062
Cayman Islands,1820,2491
Central African Republic,1820,485538
Chad,1820,1432e3
Channel Islands,1820,44673
Chile,1820,820889
China,1820,380055273
Christmas Island,1820,NA
Cocos Island,1820,NA
Colombia,1820,1266351
Comoros,1820,57537
"Congo, Dem. Rep.",1820,5255223
"Congo, Rep.",1820,320596
Cook Is,1820,16533
Costa Rica,1820,63375
Cote d'Ivoire,1820,1108345
Croatia,1820,1257048
Cuba,1820,607664
Cyprus,1820,184788
Czech Republic,1820,5569896
Czechoslovakia,1820,NA
Denmark,1820,1177749
Djibouti,1820,23320
Dominica,1820,20166
Dominican Republic,1820,93078
East Germany,1820,NA
Ecuador,1820,522656
Egypt,1820,4318788
El Salvador,1820,256823
Equatorial Guinea,1820,81084
Eritrea,1820,212440
Eritrea and Ethiopia,1820,NA
Estonia,1820,342427
Ethiopia,1820,3063453
Faeroe Islands,1820,13773
Falkland Is (Malvinas),1820,100
Fiji,1820,134860
Finland,1820,1190807
France,1820,31549988
French Guiana,1820,10092
French Polynesia,1820,64123
Gabon,1820,161794
Gambia,1820,105337
Georgia,1820,1098744
Germany,1820,25507768
Ghana,1820,1990667
Gibraltar,1820,10021
Greece,1820,2347727
Greenland,1820,9757
Grenada,1820,29699
Guadeloupe,1820,82322
Guam,1820,12337
Guatemala,1820,594985
Guernsey,1820,NA
Guinea,1820,1007384
Guinea-Bissau,1820,222059
Guyana,1820,169103
Haiti,1820,739943
Holy See,1820,905
Honduras,1820,146889
"Hong Kong, China",1820,20928
Hungary,1820,4137998
Iceland,1820,62498
India,1820,176225709
Indonesia,1820,17236636
Iran,1820,6608508
Iraq,1820,1112536
Ireland,1820,5052432
Isle of Man,1820,23947
Israel,1820,209954
Italy,1820,20341608
Jamaica,1820,400825
Japan,1820,30993147
Jersey,1820,NA
Jordan,1820,219348
Kazakhstan,1820,2091782
Kenya,1820,2574e3
Kiribati,1820,18014
North Korea,1820,4353556
South Korea,1820,9408016
United Korea (former),1820,NA
Kosovo,1820,NA
Kuwait,1820,81280
Kyrgyz Republic,1820,543453
Lao,1820,482066
Latvia,1820,605262
Lebanon,1820,338427
Lesotho,1820,281945
Liberia,1820,320479
Libya,1820,544295
Liechtenstein,1820,5905
Lithuania,1820,797987
Luxembourg,1820,129245
"Macao, China",1820,26077
"Macedonia, FYR",1820,401178
Madagascar,1820,1694950
Malawi,1820,737e3
Malaysia,1820,303530
Maldives,1820,43038
Mali,1820,1438308
Malta,1820,136406
Marshall Islands,1820,5924
Martinique,1820,85728
Mauritania,1820,386926
Mauritius,1820,96755
Mayotte,1820,8322
Mexico,1820,6621314
"Micronesia, Fed. Sts.",1820,16641
Moldova,1820,730194
Monaco,1820,7941
Mongolia,1820,621483
Montenegro,1820,129599
Montserrat,1820,5370
Morocco,1820,2713079
Mozambique,1820,2129723
Myanmar,1820,3541573
Namibia,1820,229e3
Nauru,1820,1852
Nepal,1820,3920333
Netherlands,1820,2407847
Netherlands Antilles,1820,NA
New Caledonia,1820,29910
New Zealand,1820,1e5
Ngorno-Karabakh,1820,NA
Nicaragua,1820,229075
Niger,1820,1262280
Nigeria,1820,12238319
Niue,1820,4520
Norfolk Island,1820,NA
Northern Cyprus,1820,NA
Northern Mariana Islands,1820,3411
Norway,1820,995904
Oman,1820,320411
Pakistan,1820,13699962
Palau,1820,3927
Panama,1820,82788
Papua New Guinea,1820,767591
Paraguay,1820,155438
Peru,1820,1367155
Philippines,1820,1983383
Pitcairn,1820,NA
Poland,1820,10508375
Portugal,1820,3312025
Puerto Rico,1820,250914
Qatar,1820,14092
Reunion,1820,94632
Romania,1820,6390450
Russia,1820,31861526
Rwanda,1820,943716
St. Barthélemy,1820,NA
St. Helena,1820,2197
St. Kitts and Nevis,1820,17553
St. Lucia,1820,24e3
St. Martin,1820,NA
St. Vincent and the Grenadines,1820,26117
St.-Pierre-et-Miquelon,1820,1817
Samoa,1820,47139
San Marino,1820,5588
Sao Tome and Principe,1820,23187
Saudi Arabia,1820,2103325
Senegal,1820,1028060
Serbia,1820,2198187
Serbia and Montenegro,1820,NA
Serbia excluding Kosovo,1820,NA
Seychelles,1820,12637
Sierra Leone,1820,808514
Singapore,1820,31761
Slovak Republic,1820,2161328
Slovenia,1820,480821
Solomon Islands,1820,57682
Somalia,1820,1015714
Somaliland,1820,NA
South Africa,1820,1577125
South Ossetia,1820,NA
Spain,1820,12333192
Sri Lanka,1820,1281602
Sudan,1820,4135488
Suriname,1820,82357
Svalbard,1820,NA
Swaziland,1820,86e3
Sweden,1820,2591521
Switzerland,1820,1994147
Syria,1820,1348924
Taiwan,1820,NA
Tajikistan,1820,478168
Tanzania,1820,3048053
Thailand,1820,4712187
Timor-Leste,1820,141386
Togo,1820,456556
Tokelau,1820,1005
Tonga,1820,18584
Transnistria,1820,NA
Trinidad and Tobago,1820,61559
Tunisia,1820,887129
Turkey,1820,10118315
Turkmenistan,1820,376333
Turks and Caicos Islands,1820,3358
Tuvalu,1820,2536
Uganda,1820,2119892
Ukraine,1820,11496004
United Arab Emirates,1820,40153
United Kingdom,1820,16221883
United States,1820,10361646
Uruguay,1820,59668
USSR,1820,NA
Uzbekistan,1820,1966716
Wallis et Futuna,1820,3769
Vanuatu,1820,28098
Venezuela,1820,759249
West Bank and Gaza,1820,165944
West Germany,1820,NA
Western Sahara,1820,2882
Vietnam,1820,6719340
Virgin Islands (U.S.),1820,4e4
North Yemen (former),1820,NA
South Yemen (former),1820,NA
Yemen,1820,2605438
Yugoslavia,1820,NA
Zambia,1820,747e3
Zimbabwe,1820,1106634
Åland,1820,NA
South Sudan,1820,1063732
Curaçao,1820,NA
Sint Maarten (Dutch part),1820,NA
St. Martin (French part),1820,NA
Antarctica,1820,NA
Bouvet Island,1820,NA
British Indian Ocean Territory,1820,NA
Clipperton,1820,NA
French Southern and Antarctic Lands,1820,NA
Gaza Strip,1820,NA
Heard and McDonald Islands,1820,NA
Northern Marianas,1820,NA
South Georgia and the South Sandwich Islands,1820,NA
US Minor Outlying Islands,1820,NA
Virgin Islands,1820,NA
West Bank,1820,NA
Abkhazia,1830,NA
Afghanistan,1830,3448982
Akrotiri and Dhekelia,1830,NA
Albania,1830,457234
Algeria,1830,2880355
American Samoa,1830,8128
Andorra,1830,2835
Angola,1830,1686390
Anguilla,1830,2177
Antigua and Barbuda,1830,37e3
Argentina,1830,686703
Armenia,1830,453507
Aruba,1830,20332
Australia,1830,348143
Austria,1830,3538286
Azerbaijan,1830,965887
Bahamas,1830,27558
Bahrain,1830,64474
Bangladesh,1830,20872777
Barbados,1830,96798
Belarus,1830,2584900
Belgium,1830,3751571
Belize,1830,25641
Benin,1830,702829
Bermuda,1830,9315
Bhutan,1830,94472
Bolivia,1830,1185846
Bosnia and Herzegovina,1830,931129
Botswana,1830,121e3
Brazil,1830,5301068
British Virgin Islands,1830,6700
Brunei,1830,2632
Bulgaria,1830,2287551
Burkina Faso,1830,1792717
Burundi,1830,972428
Cambodia,1830,2137966
Cameroon,1830,1916391
Canada,1830,1202146
Cape Verde,1830,61014
Cayman Islands,1830,2645
Central African Republic,1830,503090
Chad,1830,1432e3
Channel Islands,1830,46894
Chile,1830,969062
China,1830,402373519
Christmas Island,1830,NA
Cocos Island,1830,NA
Colombia,1830,1451312
Comoros,1830,61016
"Congo, Dem. Rep.",1830,5520718
"Congo, Rep.",1830,338459
Cook Is,1830,16734
Costa Rica,1830,72046
Cote d'Ivoire,1830,1165948
Croatia,1830,1342619
Cuba,1830,772812
Cyprus,1830,184986
Czech Republic,1830,5723332
Czechoslovakia,1830,NA
Denmark,1830,1264714
Djibouti,1830,24698
Dominica,1830,20786
Dominican Republic,1830,105490
East Germany,1830,NA
Ecuador,1830,591558
Egypt,1830,4662153
El Salvador,1830,283227
Equatorial Guinea,1830,83105
Eritrea,1830,234703
Eritrea and Ethiopia,1830,NA
Estonia,1830,366799
Ethiopia,1830,3407854
Faeroe Islands,1830,14457
Falkland Is (Malvinas),1830,100
Fiji,1830,137074
Finland,1830,1327905
France,1830,33174810
French Guiana,1830,10656
French Polynesia,1830,64933
Gabon,1830,172241
Gambia,1830,111354
Georgia,1830,1176832
Germany,1830,28016571
Ghana,1830,1920723
Gibraltar,1830,10450
Greece,1830,2537857
Greenland,1830,10260
Grenada,1830,30530
Guadeloupe,1830,86973
Guam,1830,17423
Guatemala,1830,671855
Guernsey,1830,NA
Guinea,1830,1076128
Guinea-Bissau,1830,233367
Guyana,1830,178030
Haiti,1830,789634
Holy See,1830,905
Honduras,1830,188905
"Hong Kong, China",1830,23754
Hungary,1830,4464317
Iceland,1830,65604
India,1830,182214537
Indonesia,1830,18460171
Iran,1830,6898130
Iraq,1830,1177768
Ireland,1830,5537192
Isle of Man,1830,25150
Israel,1830,209954
Italy,1830,21529667
Jamaica,1830,400332
Japan,1830,31330455
Jersey,1830,NA
Jordan,1830,226087
Kazakhstan,1830,2240213
Kenya,1830,2574e3
Kiribati,1830,18407
North Korea,1830,4377749
South Korea,1830,9444785
United Korea (former),1830,NA
Kosovo,1830,NA
Kuwait,1830,81280
Kyrgyz Republic,1830,581987
Lao,1830,517587
Latvia,1830,648400
Lebanon,1830,357145
Lesotho,1830,298233
Liberia,1830,340777
Libya,1830,565776
Liechtenstein,1830,6205
Lithuania,1830,854817
Luxembourg,1830,135676
"Macao, China",1830,27437
"Macedonia, FYR",1830,428506
Madagascar,1830,1803292
Malawi,1830,737e3
Malaysia,1830,354816
Maldives,1830,44948
Mali,1830,1540940
Malta,1830,143183
Marshall Islands,1830,6203
Martinique,1830,90652
Mauritania,1830,399076
Mauritius,1830,119544
Mayotte,1830,8618
Mexico,1830,6930661
"Micronesia, Fed. Sts.",1830,17289
Moldova,1830,782030
Monaco,1830,8383
Mongolia,1830,628530
Montenegro,1830,138454
Montserrat,1830,5782
Morocco,1830,2880355
Mozambique,1830,2288209
Myanmar,1830,3643584
Namibia,1830,229e3
Nauru,1830,1903
Nepal,1830,4033123
Netherlands,1830,2619333
Netherlands Antilles,1830,NA
New Caledonia,1830,31296
New Zealand,1830,91723
Ngorno-Karabakh,1830,NA
Nicaragua,1830,258484
Niger,1830,1312557
Nigeria,1830,12633330
Niue,1830,4511
Norfolk Island,1830,NA
Northern Cyprus,1830,NA
Northern Mariana Islands,1830,3557
Norway,1830,1115667
Oman,1830,327296
Pakistan,1830,14110059
Palau,1830,4076
Panama,1830,94879
Papua New Guinea,1830,804416
Paraguay,1830,195875
Peru,1830,1519450
Philippines,1830,2254767
Pitcairn,1830,NA
Poland,1830,11232857
Portugal,1830,3490333
Puerto Rico,1830,317110
