artist,title,Artist,n,URI,spotifyID
The+Black+Keys,Lonely+Boy,The Black Keys,425,https://api.spotify.com/v1/search?q=%2520track%3ALonely+Boy%2520artist%3AThe+Black+Keys%2520&type=track,5G1sTBGbZT5o4PNRc75RKI
BORNS,10+000+Emerald+Pools,BORNS,420,https://api.spotify.com/v1/search?q=%2520track%3A10+000+Emerald+Pools%2520artist%3ABORNS%2520&type=track,0ekMFsKyfkzbW1STYoNAIG
Passion+Pit,Take+A+Walk,Passion Pit,420,https://api.spotify.com/v1/search?q=%2520track%3ATake+A+Walk%2520artist%3APassion+Pit%2520&type=track,4Sfa7hdVkqlM8UW5LsSY3F
Phantogram,When+I+m+Small,Phantogram,420,https://api.spotify.com/v1/search?q=%2520track%3AWhen+I+m+Small%2520artist%3APhantogram%2520&type=track,1U3BASc885MPCYOzYwOIpO
The+Black+Keys,Tighten+Up,The Black Keys,420,https://api.spotify.com/v1/search?q=%2520track%3ATighten+Up%2520artist%3AThe+Black+Keys%2520&type=track,2MVwrvjmcdt4MsYYLCYMt8
Cloud+Cult,Running+With+The+Wolves,Cloud Cult,419,https://api.spotify.com/v1/search?q=%2520track%3ARunning+With+The+Wolves%2520artist%3ACloud+Cult%2520&type=track,3lVqdgsDC7XyMCpmcg4ofR
Broken+Social+Scene,Forced+To+Love,Broken Social Scene,417,https://api.spotify.com/v1/search?q=%2520track%3AForced+To+Love%2520artist%3ABroken+Social+Scene%2520&type=track,49dH7I9wLWIpjyNlLq38re
Alt+J,Fitzpleasure,Alt-J,416,https://api.spotify.com/v1/search?q=%2520track%3AFitzpleasure%2520artist%3AAlt+J%2520&type=track,7DdXf9x75iEVCHWfoRwRuR
Dirty+Projectors,Stillness+Is+The+Move,Dirty Projectors,416,https://api.spotify.com/v1/search?q=%2520track%3AStillness+Is+The+Move%2520artist%3ADirty+Projectors%2520&type=track,477XuL6LgQdlwrbuEVClDh
The+Shins,Simple+Song,The Shins,416,https://api.spotify.com/v1/search?q=%2520track%3ASimple+Song%2520artist%3AThe+Shins%2520&type=track,48bo7uexDvAThcRDvEB2W7
Vampire+Weekend,Diane+Young,Vampire Weekend,415,https://api.spotify.com/v1/search?q=%2520track%3ADiane+Young%2520artist%3AVampire+Weekend%2520&type=track,10f0hrbCBiQk9STrFG3EU7
Belle+And+Sebastian,The+Party+Line,Belle And Sebastian,412,https://api.spotify.com/v1/search?q=%2520track%3AThe+Party+Line%2520artist%3ABelle+And+Sebastian%2520&type=track,4KHQQYJSAfvSJzh0LIpm9X
Father+John+Misty,Hollywood+Forever+Cemetery+Sings,Father John Misty,412,https://api.spotify.com/v1/search?q=%2520track%3AHollywood+Forever+Cemetery+Sings%2520artist%3AFather+John+Misty%2520&type=track,3O30ywyRk6EKT68sBvVqOP
Har+Mar+Superstar,Lady++You+Shot+Me,Har Mar Superstar,412,https://api.spotify.com/v1/search?q=%2520track%3ALady++You+Shot+Me%2520artist%3AHar+Mar+Superstar%2520&type=track,43b1sAhXptGHyelc3knOOQ
Jeremy+Messersmith,Violet+,Jeremy Messersmith,412,https://api.spotify.com/v1/search?q=%2520track%3AViolet+%2520artist%3AJeremy+Messersmith%2520&type=track,1ggYYykhEoC0JsGkRxvnhk
Lucius,Turn+It+Around,Lucius,411,https://api.spotify.com/v1/search?q=%2520track%3ATurn+It+Around%2520artist%3ALucius%2520&type=track,2nIAa1AM5lNb7LETYFCCEu
Camera+Obscura,French+Navy,Camera Obscura,410,https://api.spotify.com/v1/search?q=%2520track%3AFrench+Navy%2520artist%3ACamera+Obscura%2520&type=track,7Mb0qE443GpOcgkmgS4lP1
Gotye,Somebody+That+I+Used+To+Know+feat++Kimbra,Gotye,410,https://api.spotify.com/v1/search?q=%2520track%3ASomebody+That+I+Used+To+Know+feat++Kimbra%2520artist%3AGotye%2520&type=track,4wCmqSrbyCgxEXROQE6vtV
Grizzly+Bear,Sleeping+Ute,Grizzly Bear,410,https://api.spotify.com/v1/search?q=%2520track%3ASleeping+Ute%2520artist%3AGrizzly+Bear%2520&type=track,2FGtcrJiFahzco2llQ9jlp
Spoon,The+Mystery+Zone,Spoon,410,https://api.spotify.com/v1/search?q=%2520track%3AThe+Mystery+Zone%2520artist%3ASpoon%2520&type=track,7rpyAPX7jfnUX6QQfjCzw7
St++Vincent,Surgeon,St. Vincent,410,https://api.spotify.com/v1/search?q=%2520track%3ASurgeon%2520artist%3ASt++Vincent%2520&type=track,7HwB14f2cAVqbvIZNQS4oK
Fitz+And+The+Tantrums,MoneyGrabber,Fitz And The Tantrums,409,https://api.spotify.com/v1/search?q=%2520track%3AMoneyGrabber%2520artist%3AFitz+And+The+Tantrums%2520&type=track,4PwwyZBEkHcm4OTJThCzXi
Mumford+And+Sons,Little+Lion+Man,Mumford And Sons,407,https://api.spotify.com/v1/search?q=%2520track%3ALittle+Lion+Man%2520artist%3AMumford+And+Sons%2520&type=track,4B4vB3oB8csotplfoQcAd6
Yeasayer,Ambling+Alp,Yeasayer,407,https://api.spotify.com/v1/search?q=%2520track%3AAmbling+Alp%2520artist%3AYeasayer%2520&type=track,4gmivt1Q8UbnQZMVHLH43v
Bon+Iver,Towers,Bon Iver,406,https://api.spotify.com/v1/search?q=%2520track%3ATowers%2520artist%3ABon+Iver%2520&type=track,2qHl2VvpKJ6ciB45nCtLB2
Joseph,White+Flag,Joseph,406,https://api.spotify.com/v1/search?q=%2520track%3AWhite+Flag%2520artist%3AJoseph%2520&type=track,3nDM1ezsfSuuYaFN4sicp1
Spoon,Written+In+Reverse,Spoon,406,https://api.spotify.com/v1/search?q=%2520track%3AWritten+In+Reverse%2520artist%3ASpoon%2520&type=track,4bKlPsX6zoiehshKpAGhp5
Adele,Rolling+In+The+Deep,Adele,405,https://api.spotify.com/v1/search?q=%2520track%3ARolling+In+The+Deep%2520artist%3AAdele%2520&type=track,1c8gk2PeTE04A1pIDH9YMk
Iron+And+Wine,Tree+By+The+River,Iron And Wine,405,https://api.spotify.com/v1/search?q=%2520track%3ATree+By+The+River%2520artist%3AIron+And+Wine%2520&type=track,1lhtOsCUtm0kND96OtDeNw
San+Cisco,Awkward,San Cisco,405,https://api.spotify.com/v1/search?q=%2520track%3AAwkward%2520artist%3ASan+Cisco%2520&type=track,3aEDTqPcVXDiuKXaedAZgx
Lana+Del+Rey,Video+Games,Lana Del Rey,403,https://api.spotify.com/v1/search?q=%2520track%3AVideo+Games%2520artist%3ALana+Del+Rey%2520&type=track,22DH8NChecsgPxDjA4pqer
Local+Natives,Airplanes,Local Natives,403,https://api.spotify.com/v1/search?q=%2520track%3AAirplanes%2520artist%3ALocal+Natives%2520&type=track,6qsArsTq6WoqtUFUe1e15W
Phoenix,1901,Phoenix,402,https://api.spotify.com/v1/search?q=%2520track%3A1901%2520artist%3APhoenix%2520&type=track,1Ug5wxoHthwxctyWTUMGta
Alvvays,Archie++Marry+Me,Alvvays,400,https://api.spotify.com/v1/search?q=%2520track%3AArchie++Marry+Me%2520artist%3AAlvvays%2520&type=track,0KVWVuutF9Dn8li4HdyAeU
The+Head+And+The+Heart,Lost+In+My+Mind,The Head And The Heart,400,https://api.spotify.com/v1/search?q=%2520track%3ALost+In+My+Mind%2520artist%3AThe+Head+And+The+Heart%2520&type=track,3n263SWk3jGYfGMxHIRukn
The+War+On+Drugs,Under+The+Pressure,The War On Drugs,400,https://api.spotify.com/v1/search?q=%2520track%3AUnder+The+Pressure%2520artist%3AThe+War+On+Drugs%2520&type=track,7pOrN8TYTjTzDZYQMShjXl
Wolf+Alice,Moaning+Lisa+Smile,Wolf Alice,400,https://api.spotify.com/v1/search?q=%2520track%3AMoaning+Lisa+Smile%2520artist%3AWolf+Alice%2520&type=track,1TzGcgAG6b9N73jDHZWVRu
Dirty+Projectors,Cannibal+Resource,Dirty Projectors,398,https://api.spotify.com/v1/search?q=%2520track%3ACannibal+Resource%2520artist%3ADirty+Projectors%2520&type=track,1pbRrSj6CBZGcG5i2BSv5L
Mumford+And+Sons,The+Cave,Mumford And Sons,398,https://api.spotify.com/v1/search?q=%2520track%3AThe+Cave%2520artist%3AMumford+And+Sons%2520&type=track,3vUn7FE3ZaQgJmkhIrIirF
OK+Go,This+Too+Shall+Pass,OK Go,398,https://api.spotify.com/v1/search?q=%2520track%3AThis+Too+Shall+Pass%2520artist%3AOK+Go%2520&type=track,1SMtj9r8K7Lzh71S5MsIhD
Car+Seat+Headrest,Fill+In+The+Blank,Car Seat Headrest,397,https://api.spotify.com/v1/search?q=%2520track%3AFill+In+The+Blank%2520artist%3ACar+Seat+Headrest%2520&type=track,0SVvyfRMFMRJzc0L2odX20
Florence+And+The+Machine,Dog+Days+Are+Over,Florence And The Machine,397,https://api.spotify.com/v1/search?q=%2520track%3ADog+Days+Are+Over%2520artist%3AFlorence+And+The+Machine%2520&type=track,1YLJVmuzeM2YSUkCCaTNUB
