artist,title,Artist,n,URI,spotifyID
Arcade+Fire,Black+Mirror,Arcade Fire,13,https://api.spotify.com/v1/search?q=%2520track%3ABlack+Mirror%2520artist%3AArcade+Fire%2520&type=track,16dTcp6dokMKhm1Guz9K2W
Arcade+Fire,City+With+No+Children,Arcade Fire,12,https://api.spotify.com/v1/search?q=%2520track%3ACity+With+No+Children%2520artist%3AArcade+Fire%2520&type=track,323BsMMgAWt1XaPeU0bAeS
Arcade+Fire,Creature+Comfort,Arcade Fire,34,https://api.spotify.com/v1/search?q=%2520track%3ACreature+Comfort%2520artist%3AArcade+Fire%2520&type=track,2voWPWlDfIthC6GUjaIQyV
Arcade+Fire,Everything+Now,Arcade Fire,28,https://api.spotify.com/v1/search?q=%2520track%3AEverything+Now%2520artist%3AArcade+Fire%2520&type=track,7KsZHCfOitA5V9oQYVdltG
Arcade+Fire,Half+Light+II++No+Celebration+,Arcade Fire,11,https://api.spotify.com/v1/search?q=%2520track%3AHalf+Light+II++No+Celebration+%2520artist%3AArcade+Fire%2520&type=track,3kw3rqgqtF4F7xVmHqTsGj
Arcade+Fire,Intervention,Arcade Fire,12,https://api.spotify.com/v1/search?q=%2520track%3AIntervention%2520artist%3AArcade+Fire%2520&type=track,7Bl5Fqa2g1UFs2O1VJiKhb
Arcade+Fire,Keep+The+Car+Running,Arcade Fire,17,https://api.spotify.com/v1/search?q=%2520track%3AKeep+The+Car+Running%2520artist%3AArcade+Fire%2520&type=track,4KjdLo9JWJEKYoAJ8spkat
Arcade+Fire,Modern+Man,Arcade Fire,12,https://api.spotify.com/v1/search?q=%2520track%3AModern+Man%2520artist%3AArcade+Fire%2520&type=track,5VWRCDKukSgYRAhXMriSCu
Arcade+Fire,Neighborhood++1++Tunnels+,Arcade Fire,14,https://api.spotify.com/v1/search?q=%2520track%3ANeighborhood++1++Tunnels+%2520artist%3AArcade+Fire%2520&type=track,1tuQOu0GEvC70bCFzltK3a
Arcade+Fire,Neighborhood++3++Power+Out+,Arcade Fire,12,https://api.spotify.com/v1/search?q=%2520track%3ANeighborhood++3++Power+Out+%2520artist%3AArcade+Fire%2520&type=track,1kAZE1Wtwg8sd7lCyLUweb
Arcade+Fire,No+Cars+Go,Arcade Fire,15,https://api.spotify.com/v1/search?q=%2520track%3ANo+Cars+Go%2520artist%3AArcade+Fire%2520&type=track,51xBgzcyzojRpqFW2ICQAB
Arcade+Fire,Normal+Person,Arcade Fire,11,https://api.spotify.com/v1/search?q=%2520track%3ANormal+Person%2520artist%3AArcade+Fire%2520&type=track,1PglrPaaUHsfp2Cka5CLdK
Arcade+Fire,Ready+To+Start,Arcade Fire,13,https://api.spotify.com/v1/search?q=%2520track%3AReady+To+Start%2520artist%3AArcade+Fire%2520&type=track,33X9miK4Xz7pNeVrc9RITG
