artist,title,Artist,n,"str_replace_all(artist, ""[[:punct:]]"", "" "")",URI,spotifyID,tempo
Belle%2520And%2520Sebastian,The%2520Party%2520Line,Belle And Sebastian,412,Belle And Sebastian,https://api.spotify.com/v1/audio-features/2PV8oZJo3K3bXENO7FRRtp,2PV8oZJo3K3bXENO7FRRtp,142.385
Father%2520John%2520Misty,Hollywood%2520Forever%2520Cemetery%2520Sings,Father John Misty,412,Father John Misty,https://api.spotify.com/v1/audio-features/3WWVDPjihd1VITBLF10nha,3WWVDPjihd1VITBLF10nha,90.056
Har%2520Mar%2520Superstar,Lady%2520%2520You%2520Shot%2520Me,Har Mar Superstar,412,Har Mar Superstar,https://api.spotify.com/v1/audio-features/20j7l6tFtc5lynXpbOQg1O,20j7l6tFtc5lynXpbOQg1O,70.027
Jeremy%2520Messersmith,Violet%2520,Jeremy Messersmith,412,Jeremy Messersmith,https://api.spotify.com/v1/audio-features/3bwymFXaLawekXh24ZOL9s,3bwymFXaLawekXh24ZOL9s,111.534
Lucius,Turn%2520It%2520Around,Lucius,411,Lucius,https://api.spotify.com/v1/audio-features/3rBjagU6UnTMXVjxKN3UfU,3rBjagU6UnTMXVjxKN3UfU,109.962
Camera%2520Obscura,French%2520Navy,Camera Obscura,410,Camera Obscura,https://api.spotify.com/v1/audio-features/0jEDSgowFfE5VG3OSgiNXO,0jEDSgowFfE5VG3OSgiNXO,121.216
Gotye,Somebody%2520That%2520I%2520Used%2520To%2520Know%2520feat%2520%2520Kimbra,Gotye,410,Gotye,https://api.spotify.com/v1/audio-features/4wCmqSrbyCgxEXROQE6vtV,4wCmqSrbyCgxEXROQE6vtV,129.062
Grizzly%2520Bear,Sleeping%2520Ute,Grizzly Bear,410,Grizzly Bear,https://api.spotify.com/v1/audio-features/2PoqnzWrZku3y90o50wVNi,2PoqnzWrZku3y90o50wVNi,104.67
Spoon,The%2520Mystery%2520Zone,Spoon,410,Spoon,https://api.spotify.com/v1/audio-features/7rpyAPX7jfnUX6QQfjCzw7,7rpyAPX7jfnUX6QQfjCzw7,119.142
St.%2520Vincent,Surgeon,St. Vincent,410,St  Vincent,https://api.spotify.com/v1/audio-features/7HwB14f2cAVqbvIZNQS4oK,7HwB14f2cAVqbvIZNQS4oK,139.913
Fitz%2520And%2520The%2520Tantrums,MoneyGrabber,Fitz And The Tantrums,409,Fitz And The Tantrums,https://api.spotify.com/v1/audio-features/2AYEOC02WLhUiOoaig2SEH,2AYEOC02WLhUiOoaig2SEH,169.965
Mumford%2520And%2520Sons,Little%2520Lion%2520Man,Mumford And Sons,407,Mumford And Sons,https://api.spotify.com/v1/audio-features/4B4vB3oB8csotplfoQcAd6,4B4vB3oB8csotplfoQcAd6,138.81
Yeasayer,Ambling%2520Alp,Yeasayer,407,Yeasayer,https://api.spotify.com/v1/audio-features/4gmivt1Q8UbnQZMVHLH43v,4gmivt1Q8UbnQZMVHLH43v,108.038
Bon%2520Iver,Towers,Bon Iver,406,Bon Iver,https://api.spotify.com/v1/audio-features/1f4GHhUI00iKZocYPpz1HE,1f4GHhUI00iKZocYPpz1HE,78.833
Spoon,Written%2520In%2520Reverse,Spoon,406,Spoon,https://api.spotify.com/v1/audio-features/4bKlPsX6zoiehshKpAGhp5,4bKlPsX6zoiehshKpAGhp5,102.069
Adele,Rolling%2520In%2520The%2520Deep,Adele,405,Adele,https://api.spotify.com/v1/audio-features/1c8gk2PeTE04A1pIDH9YMk,1c8gk2PeTE04A1pIDH9YMk,104.948
Iron%2520And%2520Wine,Tree%2520By%2520The%2520River,Iron And Wine,405,Iron And Wine,https://api.spotify.com/v1/audio-features/6HbxpoChDH9ThadFOSAnma,6HbxpoChDH9ThadFOSAnma,115.771
San%2520Cisco,Awkward,San Cisco,405,San Cisco,https://api.spotify.com/v1/audio-features/6Zkl0z6XpRKOASu1KkvS0l,6Zkl0z6XpRKOASu1KkvS0l,161.92
Lana%2520Del%2520Rey,Video%2520Games,Lana Del Rey,403,Lana Del Rey,https://api.spotify.com/v1/audio-features/1NZs6n6hl8UuMaX0UC0YTz,1NZs6n6hl8UuMaX0UC0YTz,107.747
Local%2520Natives,Airplanes,Local Natives,403,Local Natives,https://api.spotify.com/v1/audio-features/6lV2MSQmRIkycDScNtrBXO,6lV2MSQmRIkycDScNtrBXO,93.033
Phoenix,1901,Phoenix,402,Phoenix,https://api.spotify.com/v1/audio-features/4a41JZNoat590VLuBWfPBj,4a41JZNoat590VLuBWfPBj,85.986
Alvvays,Archie%2520%2520Marry%2520Me,Alvvays,400,Alvvays,https://api.spotify.com/v1/audio-features/0KVWVuutF9Dn8li4HdyAeU,0KVWVuutF9Dn8li4HdyAeU,117.351
The%2520Head%2520And%2520The%2520Heart,Lost%2520In%2520My%2520Mind,The Head And The Heart,400,The Head And The Heart,https://api.spotify.com/v1/audio-features/3n263SWk3jGYfGMxHIRukn,3n263SWk3jGYfGMxHIRukn,95.333
Wolf%2520Alice,Moaning%2520Lisa%2520Smile,Wolf Alice,400,Wolf Alice,https://api.spotify.com/v1/audio-features/7gChGUkqWkinDS7uYoMLIM,7gChGUkqWkinDS7uYoMLIM,98.12
Dirty%2520Projectors,Cannibal%2520Resource,Dirty Projectors,398,Dirty Projectors,https://api.spotify.com/v1/audio-features/1pbRrSj6CBZGcG5i2BSv5L,1pbRrSj6CBZGcG5i2BSv5L,77.181
Mumford%2520And%2520Sons,The%2520Cave,Mumford And Sons,398,Mumford And Sons,https://api.spotify.com/v1/audio-features/3vUn7FE3ZaQgJmkhIrIirF,3vUn7FE3ZaQgJmkhIrIirF,141.979
Car%2520Seat%2520Headrest,Fill%2520In%2520The%2520Blank,Car Seat Headrest,397,Car Seat Headrest,https://api.spotify.com/v1/audio-features/1Pbs2eCcX9p2onaAvMYvhk,1Pbs2eCcX9p2onaAvMYvhk,143.903
