artist,title,Artist,n,URI,spotifyID,tempo,info-danceability,info-energy,info-key,info-loudness,info-mode,info-speechiness,info-acousticness,info-instrumentalness,info-liveness,info-valence,info-tempo,info-type,info-id,info-uri,info-track_href,info-analysis_url,info-duration_ms,info-time_signature,info-1
Alt+J,3WW,Alt-J,26,https://api.spotify.com/v1/audio-features/3n69hLUdIsSa1WlRmjMZlW,3n69hLUdIsSa1WlRmjMZlW,150.093,0.615,0.658,5,-7.299,1,0.0343,0.096,9.11e-4,0.205,0.293,150.093,audio_features,3n69hLUdIsSa1WlRmjMZlW,spotify:track:3n69hLUdIsSa1WlRmjMZlW,https://api.spotify.com/v1/tracks/3n69hLUdIsSa1WlRmjMZlW,https://api.spotify.com/v1/audio-analysis/3n69hLUdIsSa1WlRmjMZlW,227080,4,NA
Band+Of+Horses,In+A+Drawer,Band Of Horses,26,https://api.spotify.com/v1/audio-features/6DVX4qug0tCQkdlcRT7nUf,6DVX4qug0tCQkdlcRT7nUf,140.035,0.573,0.717,6,-6.821,1,0.036,0.133,0.00138,0.159,0.335,140.035,audio_features,6DVX4qug0tCQkdlcRT7nUf,spotify:track:6DVX4qug0tCQkdlcRT7nUf,https://api.spotify.com/v1/tracks/6DVX4qug0tCQkdlcRT7nUf,https://api.spotify.com/v1/audio-analysis/6DVX4qug0tCQkdlcRT7nUf,238907,4,NA
Courtney+Barnett,Nobody+Really+Cares+If+You+Don+t+Go+To+The+Party,Courtney Barnett,26,https://api.spotify.com/v1/audio-features/4DJamulehuGcPiPOaQlCAa,4DJamulehuGcPiPOaQlCAa,136.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Har+Mar+Superstar,Youth+Without+Love,Har Mar Superstar,26,https://api.spotify.com/v1/audio-features/36Jk4Gov47YOevltFX97sD,36Jk4Gov47YOevltFX97sD,105.117,0.648,0.74,7,-6.107,1,0.0366,0.0795,0.0707,0.587,0.813,105.117,audio_features,36Jk4Gov47YOevltFX97sD,spotify:track:36Jk4Gov47YOevltFX97sD,https://api.spotify.com/v1/tracks/36Jk4Gov47YOevltFX97sD,https://api.spotify.com/v1/audio-analysis/36Jk4Gov47YOevltFX97sD,125962,4,NA
Hop+Along,How+Simple,Hop Along,26,https://api.spotify.com/v1/audio-features/7zsiCG0hk9G7iQ5KnSPG7T,7zsiCG0hk9G7iQ5KnSPG7T,126.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lizzo,Good+As+Hell,Lizzo,26,https://api.spotify.com/v1/audio-features/6KgBpzTuTRPebChN0VTyzV,6KgBpzTuTRPebChN0VTyzV,95.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lizzo,Water+Me,Lizzo,26,https://api.spotify.com/v1/audio-features/4WbO3H3wFGUdrngpMMs4sF,4WbO3H3wFGUdrngpMMs4sF,113.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucius,The+Punisher,Lucius,26,https://api.spotify.com/v1/audio-features/0rSJtqCSAkhKORRpJlk7pL,0rSJtqCSAkhKORRpJlk7pL,74.894,0.339,0.651,7,-6.414,1,0.0281,0.141,0.908,0.0655,0.688,74.894,audio_features,0rSJtqCSAkhKORRpJlk7pL,spotify:track:0rSJtqCSAkhKORRpJlk7pL,https://api.spotify.com/v1/tracks/0rSJtqCSAkhKORRpJlk7pL,https://api.spotify.com/v1/audio-analysis/0rSJtqCSAkhKORRpJlk7pL,75893,4,NA
Margo+Price,A+Little+Pain,Margo Price,26,https://api.spotify.com/v1/audio-features/0kggo2ROgX9vXGef4Ehxn1,0kggo2ROgX9vXGef4Ehxn1,118.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nathaniel+Rateliff+And+The+Night+Sweats,I+Need+Never+Get+Old,Nathaniel Rateliff And The Night Sweats,26,https://api.spotify.com/v1/audio-features/6YfEvtwpQwGAWZBWzNmoIw,6YfEvtwpQwGAWZBWzNmoIw,135.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polica,Lime+Habit,Polica,26,https://api.spotify.com/v1/audio-features/5pxNNP0RkxaUXT4ipArNaY,5pxNNP0RkxaUXT4ipArNaY,125.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purple+Mountains,Margaritas+at+The+Mall,Purple Mountains,26,https://api.spotify.com/v1/audio-features/6EJ24umBSZ6sxmWm8AjHNe,6EJ24umBSZ6sxmWm8AjHNe,126.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solange,Cranes+In+The+Sky,Solange,26,https://api.spotify.com/v1/audio-features/48EjSdYh8wz2gBxxqzrsLe,48EjSdYh8wz2gBxxqzrsLe,96.988,0.719,0.615,6,-5.972,1,0.045,0.408,1.47e-4,0.235,0.465,96.988,audio_features,48EjSdYh8wz2gBxxqzrsLe,spotify:track:48EjSdYh8wz2gBxxqzrsLe,https://api.spotify.com/v1/tracks/48EjSdYh8wz2gBxxqzrsLe,https://api.spotify.com/v1/audio-analysis/48EjSdYh8wz2gBxxqzrsLe,250973,4,NA
Soul+Asylum,Dead+Letter,Soul Asylum,26,https://api.spotify.com/v1/audio-features/25xvBgrEM0qh2069CUkf8o,25xvBgrEM0qh2069CUkf8o,138.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sylvan+Esso,Die+Young,Sylvan Esso,26,https://api.spotify.com/v1/audio-features/6EbVuwU7EnKeF2hdpViXCH,6EbVuwU7EnKeF2hdpViXCH,77.471,0.808,0.582,11,-6.26,1,0.338,0.827,0,0.111,0.675,77.471,audio_features,6EbVuwU7EnKeF2hdpViXCH,spotify:track:6EbVuwU7EnKeF2hdpViXCH,https://api.spotify.com/v1/tracks/6EbVuwU7EnKeF2hdpViXCH,https://api.spotify.com/v1/audio-analysis/6EbVuwU7EnKeF2hdpViXCH,148817,4,NA
Weezer,Take+On+Me,Weezer,26,https://api.spotify.com/v1/audio-features/1ZB2qWsheGabSEYvBYxjKn,1ZB2qWsheGabSEYvBYxjKn,167.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amy+Shark,Adore,Amy Shark,25,https://api.spotify.com/v1/audio-features/1rPCgtaIF0CyKRgAwhtpbF,1rPCgtaIF0CyKRgAwhtpbF,67.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Billie+Eilish,Everything+I+Wanted,Billie Eilish,25,https://api.spotify.com/v1/audio-features/3ZCTVFBt2Brf31RLEnCkWJ,3ZCTVFBt2Brf31RLEnCkWJ,120.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHVRCHES,Never+Ending+Circles,CHVRCHES,25,https://api.spotify.com/v1/audio-features/2ZOSOses8rghy9wkPPDRQM,2ZOSOses8rghy9wkPPDRQM,89.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grandaddy,Way+We+Won+t,Grandaddy,25,https://api.spotify.com/v1/audio-features/1aIiPzU8cnpUb0g8fFZ1r0,1aIiPzU8cnpUb0g8fFZ1r0,113.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAIM,Want+You+Back,HAIM,25,https://api.spotify.com/v1/audio-features/4ZGC3yb7ObpkN2rj3t7l9N,4ZGC3yb7ObpkN2rj3t7l9N,89.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HALEY,Hometown,HALEY,25,https://api.spotify.com/v1/audio-features/4fCFuTPTLIh59R71vNKOkQ,4fCFuTPTLIh59R71vNKOkQ,115.035,0.706,0.69,4,-6.722,1,0.046,0.266,0,0.218,0.807,115.035,audio_features,4fCFuTPTLIh59R71vNKOkQ,spotify:track:4fCFuTPTLIh59R71vNKOkQ,https://api.spotify.com/v1/tracks/4fCFuTPTLIh59R71vNKOkQ,https://api.spotify.com/v1/audio-analysis/4fCFuTPTLIh59R71vNKOkQ,187200,4,NA
Hurray+For+The+Riff+Raff,Living+In+The+City,Hurray For The Riff Raff,25,https://api.spotify.com/v1/audio-features/03NrJwKoZVAhiBz4jsWVCx,03NrJwKoZVAhiBz4jsWVCx,125.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCD+Soundsystem,Seconds,LCD Soundsystem,25,https://api.spotify.com/v1/audio-features/3GDWCcJVntasirXJz7Xs2v,3GDWCcJVntasirXJz7Xs2v,127.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucius,Something+About+You,Lucius,25,https://api.spotify.com/v1/audio-features/6RiiSy9GzSwiyDEJDiMuKe,6RiiSy9GzSwiyDEJDiMuKe,133.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manchester+Orchestra,The+Gold,Manchester Orchestra,25,https://api.spotify.com/v1/audio-features/7qcXUzPwoxSBFxjTbNrV0B,7qcXUzPwoxSBFxjTbNrV0B,158.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Margo+Price,Hurtin+++On+The+Bottle+,Margo Price,25,https://api.spotify.com/v1/audio-features/161ih87Mf1Jsx6E6WgVPDu,161ih87Mf1Jsx6E6WgVPDu,91.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael+Kiwanuka,You+Ain+t+The+Problem,Michael Kiwanuka,25,https://api.spotify.com/v1/audio-features/3zJ5RDG0bLQAV2rntFgUtb,3zJ5RDG0bLQAV2rntFgUtb,124.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nur+D,Take+My+Picture,Nur-D,25,https://api.spotify.com/v1/audio-features/6kYMoYJnbXVuiqVMCkL2Pe,6kYMoYJnbXVuiqVMCkL2Pe,112.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pedro+The+Lion,Model+Homes,Pedro The Lion,25,https://api.spotify.com/v1/audio-features/09H4K9Ol3E1USU7ujSyVNp,09H4K9Ol3E1USU7ujSyVNp,200.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pedro+The+Lion,Quietest+Friend,Pedro The Lion,25,https://api.spotify.com/v1/audio-features/5OHJS3Wc24ym0kHWQGKdO0,5OHJS3Wc24ym0kHWQGKdO0,115.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prince,Baby++You+re+A+Trip,Prince,25,https://api.spotify.com/v1/audio-features/4JyGMnSa9ikTNZEheQZBou,4JyGMnSa9ikTNZEheQZBou,121.823,0.719,0.446,11,-10.185,1,0.104,0.655,0,0.119,0.473,121.823,audio_features,4JyGMnSa9ikTNZEheQZBou,spotify:track:4JyGMnSa9ikTNZEheQZBou,https://api.spotify.com/v1/tracks/4JyGMnSa9ikTNZEheQZBou,https://api.spotify.com/v1/audio-analysis/4JyGMnSa9ikTNZEheQZBou,351427,4,NA
Ron+Gallo,Young+Lady++You+re+Scaring+Me,Ron Gallo,25,https://api.spotify.com/v1/audio-features/6PtIXICwmoxCgLjw2zApDs,6PtIXICwmoxCgLjw2zApDs,109.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rostam,Bike+Dream,Rostam,25,https://api.spotify.com/v1/audio-features/0Q8YbkwiUQTvxTYvofeAJB,0Q8YbkwiUQTvxTYvofeAJB,93.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silversun+Pickups,Simpatico,Silversun Pickups,25,https://api.spotify.com/v1/audio-features/1aDLUzCyYpRXgrjwUWzV2X,1aDLUzCyYpRXgrjwUWzV2X,127.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spoon,Do+I+Have+To+Talk+You+Into+It,Spoon,25,https://api.spotify.com/v1/audio-features/1ntJLMwDAKD8S1FlwkIOyB,1ntJLMwDAKD8S1FlwkIOyB,79.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spoon,Hot+Thoughts,Spoon,25,https://api.spotify.com/v1/audio-features/48yvsxGXnJBxy8nXgGbs4S,48yvsxGXnJBxy8nXgGbs4S,109.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The+Bad+Man,Disco+,The Bad Man,25,https://api.spotify.com/v1/audio-features/62l3NSQPUxvcwwzKUmysrE,62l3NSQPUxvcwwzKUmysrE,120.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The+Good+The+Bad+And+The+Queen,Merrie+Land,The Good The Bad And The Queen,25,https://api.spotify.com/v1/audio-features/3bb7PYltkFpTQQZ9ppQLqj,3bb7PYltkFpTQQZ9ppQLqj,164.463,0.392,0.204,9,-13.086,1,0.127,0.829,0.00119,0.112,0.328,164.463,audio_features,3bb7PYltkFpTQQZ9ppQLqj,spotify:track:3bb7PYltkFpTQQZ9ppQLqj,https://api.spotify.com/v1/tracks/3bb7PYltkFpTQQZ9ppQLqj,https://api.spotify.com/v1/audio-analysis/3bb7PYltkFpTQQZ9ppQLqj,92927,4,NA
The+Lemon+Twigs,These+Words,The Lemon Twigs,25,https://api.spotify.com/v1/audio-features/1NvpO1o8SpkdH3txtJQQc7,1NvpO1o8SpkdH3txtJQQc7,116.106,0.611,0.584,11,-6.897,0,0.0301,0.083,0,0.432,0.181,116.106,audio_features,1NvpO1o8SpkdH3txtJQQc7,spotify:track:1NvpO1o8SpkdH3txtJQQc7,https://api.spotify.com/v1/tracks/1NvpO1o8SpkdH3txtJQQc7,https://api.spotify.com/v1/audio-analysis/1NvpO1o8SpkdH3txtJQQc7,243486,4,NA
Tom+Petty+And+The+Heartbreakers,For+Real,Tom Petty And The Heartbreakers,25,https://api.spotify.com/v1/audio-features/5tVA6TkbaAH9QMITTQRrNv,5tVA6TkbaAH9QMITTQRrNv,84.383,0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,audio_features,5tVA6TkbaAH9QMITTQRrNv,spotify:track:5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/audio-analysis/5tVA6TkbaAH9QMITTQRrNv,256000,4,NA
Wolf+Alice,Giant+Peach,Wolf Alice,25,https://api.spotify.com/v1/audio-features/6ubSpevM3YExR5DJqCtoUY,6ubSpevM3YExR5DJqCtoUY,140.889,0.507,0.82,9,-7.834,1,0.0756,5.06e-5,0.0514,0.704,0.142,140.889,audio_features,6ubSpevM3YExR5DJqCtoUY,spotify:track:6ubSpevM3YExR5DJqCtoUY,https://api.spotify.com/v1/tracks/6ubSpevM3YExR5DJqCtoUY,https://api.spotify.com/v1/audio-analysis/6ubSpevM3YExR5DJqCtoUY,275493,4,NA
